 1.00000000e+00  4.74684141e+02 -8.07935873e-04 
 1.12201845e+00  4.74684141e+02 -9.06518782e-04 
 1.25892541e+00  4.74684141e+02 -1.01713064e-03 
 1.41253754e+00  4.74684141e+02 -1.14123921e-03 
 1.58489319e+00  4.74684141e+02 -1.28049133e-03 
 1.77827941e+00  4.74684141e+02 -1.43673479e-03 
 1.99526231e+00  4.74684141e+02 -1.61204285e-03 
 2.23872114e+00  4.74684141e+02 -1.80874173e-03 
 2.51188643e+00  4.74684141e+02 -2.02944152e-03 
 2.81838293e+00  4.74684141e+02 -2.27707077e-03 
 3.16227766e+00  4.74684141e+02 -2.55491536e-03 
 3.54813389e+00  4.74684141e+02 -2.86666213e-03 
 3.98107171e+00  4.74684141e+02 -3.21644776e-03 
 4.46683592e+00  4.74684141e+02 -3.60891369e-03 
 5.01187234e+00  4.74684141e+02 -4.04926772e-03 
 5.62341325e+00  4.74684141e+02 -4.54335308e-03 
 6.30957344e+00  4.74684141e+02 -5.09772597e-03 
 7.07945784e+00  4.74684141e+02 -5.71974258e-03 
 7.94328235e+00  4.74684141e+02 -6.41765670e-03 
 8.91250938e+00  4.74684141e+02 -7.20072923e-03 
 1.00000000e+01  4.74684141e+02 -8.07935106e-03 
 1.12201845e+01  4.74684141e+02 -9.06518097e-03 
 1.25892541e+01  4.74684141e+02 -1.01713003e-02 
 1.41253754e+01  4.74684141e+02 -1.14123866e-02 
 1.58489319e+01  4.74684141e+02 -1.28049084e-02 
 1.77827941e+01  4.74684140e+02 -1.43673435e-02 
 1.99526231e+01  4.74684140e+02 -1.61204246e-02 
 2.23872114e+01  4.74684140e+02 -1.80874138e-02 
 2.51188643e+01  4.74684140e+02 -2.02944121e-02 
 2.81838293e+01  4.74684140e+02 -2.27707049e-02 
 3.16227766e+01  4.74684139e+02 -2.55491511e-02 
 3.54813389e+01  4.74684139e+02 -2.86666190e-02 
 3.98107171e+01  4.74684139e+02 -3.21644755e-02 
 4.46683592e+01  4.74684138e+02 -3.60891350e-02 
 5.01187234e+01  4.74684137e+02 -4.04926754e-02 
 5.62341325e+01  4.74684137e+02 -4.54335290e-02 
 6.30957344e+01  4.74684135e+02 -5.09772578e-02 
 7.07945784e+01  4.74684134e+02 -5.71974239e-02 
 7.94328235e+01  4.74684132e+02 -6.41765649e-02 
 8.91250938e+01  4.74684130e+02 -7.20072898e-02 
 1.00000000e+02  4.74684127e+02 -8.07935075e-02 
 1.12201845e+02  4.74684124e+02 -9.06518057e-02 
 1.25892541e+02  4.74684119e+02 -1.01712998e-01 
 1.41253754e+02  4.74684113e+02 -1.14123859e-01 
 1.58489319e+02  4.74684106e+02 -1.28049074e-01 
 1.77827941e+02  4.74684097e+02 -1.43673422e-01 
 1.99526231e+02  4.74684086e+02 -1.61204227e-01 
 2.23872114e+02  4.74684072e+02 -1.80874112e-01 
 2.51188643e+02  4.74684054e+02 -2.02944084e-01 
 2.81838293e+02  4.74684032e+02 -2.27706997e-01 
 3.16227766e+02  4.74684003e+02 -2.55491437e-01 
 3.54813389e+02  4.74683968e+02 -2.86666086e-01 
 3.98107171e+02  4.74683923e+02 -3.21644609e-01 
 4.46683592e+02  4.74683867e+02 -3.60891144e-01 
